Fund name,Performance Date,Factor,Class,YTD,1 yr,3 yr,5yr,10 yr,rank_YTD,rank_1Y,rank_3Y,rank_5Y,rank_10Y,consistenct_score,consistency_score
PUBLIC ISLAMIC ASIA TACTICAL ALLOCATION,46191.0,32.2,V. HIGH,98.17,170.27,42.16,20.25,17.49,1.0,1.0,1.0,1.0,1.0,5.0,5.0
PUBLIC ASIA ITTIKAL,46191.0,27.4,V. HIGH,70.83,116.35,29.65,11.9,12.88,4.0,2.0,4.0,7.0,2.0,19.0,19.0
PUBLIC REGIONAL SECTOR,46191.0,23.6,V. HIGH,60.43,93.08,28.48,11.22,11.46,7.0,8.0,5.0,9.0,5.0,34.0,34.0
PB ISLAMIC ASIA STRATEGIC SECTOR,46191.0,27.2,V. HIGH,67.71,113.9,26.43,9.56,12.6,5.0,3.0,10.0,15.0,3.0,36.0,36.0
PUBLIC ISLAMIC ASIA DIVIDEND,46191.0,20.5,V. HIGH,56.85,81.11,25.72,9.36,11.23,11.0,13.0,11.0,18.0,9.0,62.0,62.0
PUBLIC CHINA ITTIKAL,46191.0,23.5,V. HIGH,58.46,80.29,25.12,8.27,11.24,8.0,14.0,13.0,24.0,8.0,67.0,67.0
PUBLIC CHINA SELECT,46191.0,21.6,V. HIGH,33.43,66.99,24.03,9.96,11.86,26.0,21.0,16.0,12.0,4.0,79.0,79.0
PB ASIA EQUITY,46191.0,21.5,V. HIGH,51.0,73.15,23.07,9.09,10.42,15.0,18.0,20.0,20.0,14.0,87.0,87.0
PUBLIC ISLAMIC ASIA LEADERS EQUITY,46191.0,25.8,V. HIGH,58.28,90.08,21.19,6.84,11.29,9.0,9.0,24.0,40.0,7.0,89.0,89.0
PB ISLAMIC ASIA EQUITY,46191.0,21.1,V. HIGH,51.91,88.08,24.89,7.35,9.38,14.0,10.0,14.0,34.0,18.0,90.0,90.0
PUBLIC FAR-EAST SELECT,46191.0,20.9,V. HIGH,48.75,75.0,23.29,8.11,9.3,18.0,17.0,18.0,25.0,19.0,97.0,97.0
PB EURO PACIFIC EQUITY,46191.0,18.2,V. HIGH,33.22,40.72,20.17,11.26,10.43,27.0,31.0,28.0,8.0,12.5,106.5,106.5
PB ASIA PACIFIC ENTERPRISES,46191.0,17.4,V. HIGH,39.92,51.7,18.72,8.64,10.36,20.0,27.0,29.0,22.0,15.0,113.0,113.0
PUBLIC FAR-EAST ALPHA-30,46191.0,20.1,V. HIGH,39.11,66.27,20.37,7.42,11.01,23.0,23.0,27.0,32.0,10.0,115.0,115.0
PB CHINA PACIFIC EQUITY,46191.0,22.1,V. HIGH,49.92,72.66,21.77,5.79,10.43,17.0,19.0,23.0,51.0,12.5,122.5,122.5
PB DYNAMIC ALLOCATION,46191.0,19,V. HIGH,31.21,46.45,18.01,7.9,10.79,29.0,29.0,31.0,26.0,11.0,126.0,126.0
PUBLIC FAR-EAST BALANCED,46191.0,14.7,HIGH,33.44,53.89,17.13,7.76,8.39,25.0,25.0,32.0,27.0,26.0,135.0,135.0
PUBLIC TACTICAL ALLOCATION,46191.0,21.1,V. HIGH,39.21,53.66,22.04,5.34,8.89,21.0,26.0,22.0,60.0,21.0,150.0,150.0
